Time,Use [kW],HVAC [kW],Lighting [kW],Computers [kW],Kitchen Equipment [kW],Refrigeration [kW],Outdoor Temp [Â°C],Humidity [%],Day Type,Cloud Cover [%],Season
,94.88644409,43.71585366,18.40408205,16.9338562,6.588017689,9.244634485,-2.494308383,45.43237925,Weekday,23.48867451,
,211.6305385,91.12977571,47.24592718,51.12359863,19.17079901,2.960437982,0.682067454,37.03089485,Weekday,0.482981164,
,235.1213073,101.4627684,55.05287898,44.11395292,23.54030899,10.95139799,-4.370435568,40.67152644,Weekday,2.611842835,
,193.2259461,86.17319173,53.43123419,27.30376691,14.22145451,12.09629874,-1.457774948,53.10455081,Weekday,11.09626118,
,213.7962081,86.18021899,55.88426423,38.5387149,16.76046136,16.43254865,-2.692649645,49.09653558,Weekday,64.9048555,
,215.8234495,96.48461474,46.24038064,47.82618517,14.49895803,10.77331089,-2.44919721,54.46203815,Weekday,42.95790069,
,214.3748144,91.9037583,54.78024945,42.33476084,13.35428863,12.00175719,-5.531493995,37.59047359,Weekday,48.98577605,
,220.524953,115.125543,41.71058367,36.97625599,15.81699098,10.89557928,-2.432129108,51.87134701,Weekday,68.4134935,
,217.9089762,100.9154885,53.33981663,39.36558379,12.43870893,11.84937831,-4.551686476,55.90385565,Weekday,91.52132208,
,95.04097044,47.93665397,21.3753818,12.20091834,3.786283133,9.741733193,0.144587993,40.20421776,Weekday,18.53479877,
,97.25406937,50.18659657,19.78008461,12.06536244,5.542831442,9.679194302,-2.323341785,32.42825295,Weekday,38.55982483,
,98.72547849,45.01896602,21.78522149,16.59610265,4.471242263,10.85394607,-3.497890028,44.39503606,Weekday,58.29018875,
,100.8955193,51.82710365,19.70556655,10.37167034,6.980102068,12.01107674,-3.774467714,47.76016147,Weekday,0.378571722,
,83.78785541,46.64383123,14.54679501,8.637575185,4.082180849,9.877473137,-2.977173948,43.12541329,Weekday,38.30715476,
,87.84609284,38.46757366,24.47507405,8.960541023,4.738862886,11.20404122,-6.33915968,30.66624758,Weekday,73.4564979,
,101.2005572,50.54395288,21.67584124,9.980822833,6.298466442,12.70147382,-1.497457106,61.14368486,Weekday,90.33567279,
,96.67994788,55.46154481,16.30293761,9.15421147,4.845256581,10.91599741,-3.973331984,66.16408635,Weekday,25.35763618,
,98.9767313,58.79820748,14.65579274,12.81390822,5.547561143,7.161261724,-4.536768803,46.87565082,Weekday,90.97949877,
,90.77795643,47.16901611,22.23721964,10.21909593,1.53179393,9.620830811,-2.290169554,48.91508825,Weekday,8.395612981,
,103.8047041,59.44884307,21.63622351,8.234822871,6.03742456,8.44739006,-2.717925332,47.84605148,Weekday,8.165445806,
,100.2517287,52.62744809,16.45820186,11.95927121,5.854748386,13.35205912,-5.772437708,63.50409996,Weekday,54.31157877,
,91.19924635,50.28593811,15.2308412,13.36439485,4.915611162,7.402461024,-1.188618106,34.58650307,Weekday,30.03144241,
,92.79206861,50.00399177,19.45450627,8.849840153,2.695552476,11.78817794,0.672108852,32.06387105,Weekday,21.80290361,
,89.24665109,39.340739,24.21350324,13.48138279,0.802138711,11.40888736,-0.132779697,62.02951731,Weekday,97.98263246,
,96.14187896,51.2118796,20.2383199,10.44913724,3.060743846,11.18179839,-6.783203688,42.03443308,Weekday,86.10861518,
,197.2068474,81.15488587,49.91025751,40.02695548,18.91734117,7.197407336,-1.958806383,55.54982033,Weekday,58.98798183,
,241.0332708,108.7498696,50.12361203,46.93686172,29.65215554,5.570771949,-2.92609885,51.43369137,Weekday,25.65450437,
,217.3235455,104.4636778,45.74129199,39.74161175,18.38422794,8.992736103,-1.233573161,54.97736637,Weekday,82.21752872,
,250.661395,120.4712992,51.84758959,46.72125503,19.46037434,12.1608769,-0.85757744,41.96189534,Weekday,41.33452529,
,214.3795298,97.23363871,52.00093172,35.87014858,22.81898765,6.455823112,-0.999692987,31.09778679,Weekday,70.13433597,
,235.9958946,129.1773626,41.80437867,37.90635384,18.92839601,8.179403529,-7.276859456,66.05792467,Weekday,3.380580062,
,221.0431151,96.74576179,54.55626473,38.8898713,22.34445536,8.506761952,-4.313947085,51.16837196,Weekday,72.26716783,
,238.0879713,109.1453827,55.38902074,44.72503639,19.39361974,9.434911707,-0.558907031,46.63560949,Weekday,93.72380459,
,95.62546797,51.94609726,16.89160881,12.08102041,4.334127601,10.37261388,-0.623448288,36.20912826,Weekday,83.74827941,
,87.0616133,46.76914466,16.679217,11.49654087,3.41303742,8.703673347,-5.350212154,64.3816182,Weekday,9.320951485,
,103.0951555,53.94861175,19.80380058,12.01768287,5.088212186,12.23684814,-1.607413738,62.77495385,Weekday,63.19620975,
,98.27281794,43.97450124,18.99318852,17.95417807,6.848917561,10.50203256,-4.565749615,38.79068615,Weekday,75.05456394,
,95.98448084,48.80803147,20.12469787,13.45710541,2.185179826,11.40946626,-1.350949264,37.63198974,Weekday,87.10305402,
,104.3642373,49.2241053,22.34004129,12.2191163,3.495626837,17.08534756,2.001754144,66.59058459,Weekday,43.55203514,
,81.28234658,47.73948801,15.42705271,5.886379688,4.186929933,8.042496243,-3.622975192,66.23710928,Weekday,79.24778959,
,96.299637,51.88125066,17.98407766,15.23253328,1.744007029,9.457768375,0.582453566,58.1680258,Weekday,20.58630729,
,92.38883512,48.99722039,15.47136245,13.96114782,5.920396556,8.038707906,-2.403316023,34.59279224,Weekday,27.23178307,
,102.7743295,58.04758641,21.94237848,12.19356584,6.139879981,4.450918819,-5.446674775,45.96510821,Weekday,35.49124883,
,96.1054376,47.92331981,20.63586961,11.00944119,5.519759804,11.01704719,-2.508594957,38.22216858,Weekday,0.66116588,
,91.43795577,50.65985929,18.67097702,10.78335493,2.681521891,8.642242648,-2.847281176,63.79871745,Weekday,28.12198676,
,95.99107362,49.66143493,22.17284555,11.45739831,1.185113564,11.51428126,-3.174762739,63.5312115,Weekday,49.32855845,
,100.2974324,56.03661489,16.97367009,12.03583731,3.717483748,11.53382634,-0.431485925,52.08392798,Weekday,13.68021557,
,81.52685548,46.19695302,14.40377871,11.28705439,-0.385977298,10.02504666,0.08629996,38.76411639,Weekday,44.36049972,
,91.44655948,42.79694342,24.42599955,10.17988766,5.965003889,8.078724959,-0.657378709,56.56494235,Weekday,43.09187236,
,232.1858026,100.5085793,46.00106916,47.94112024,20.85805428,16.87697965,-1.93588967,49.30503861,Weekday,62.02508315,
,223.9628542,83.51446991,61.13315892,40.26714745,27.96093426,11.08714365,0.516361472,33.04698796,Weekday,63.23532297,
,230.9949389,120.337125,51.94383591,40.69645269,12.45000571,5.567519609,-1.344822473,62.86744227,Weekday,7.301772679,
,239.2778105,110.1185846,45.47250509,48.27912485,24.81484023,10.59275577,0.679993293,43.16013084,Weekday,63.45470997,
,216.6740887,80.34088846,57.54807648,39.95705007,27.20900143,11.61907231,-0.676927094,48.24002117,Weekday,67.40138393,
,231.4692071,105.960855,55.31248581,36.53004169,25.18512475,8.480699827,-1.707541333,43.48861645,Weekday,63.9031604,
,204.013703,73.4177349,56.76663113,47.34572998,17.35378297,9.129824007,-7.343477415,39.59273575,Weekday,57.95657132,
,202.5321125,99.33726961,48.15811194,34.01380299,18.4064532,2.616474733,-1.921004672,52.58229858,Weekday,42.81688779,
,90.93803398,42.45960018,19.15010454,15.450095,4.720272238,9.157962022,-3.945627852,36.76302339,Weekday,84.59201027,
,103.5517379,60.38418034,20.53673474,10.80510714,2.941204988,8.884510701,-2.917378733,64.02469992,Weekday,44.26371962,
,95.62096567,52.92122873,19.51629628,9.458996178,3.502241976,10.2222025,-3.523242623,42.57991787,Weekday,12.64224371,
,107.5669982,56.0227891,23.40290722,15.50443953,3.18113573,9.45572664,-1.663435059,38.9243251,Weekday,9.260122255,
,90.31491238,44.23005932,21.05004327,12.21442023,3.590499528,9.22989002,0.10144202,62.29269333,Weekday,41.79912627,
,100.075751,48.07948987,22.60742965,11.18169811,4.247235278,13.95989809,2.990027717,40.40429032,Weekday,92.13198149,
,99.90878851,60.39831636,17.37308812,7.59979739,4.863282834,9.674303806,-2.060729993,48.40136685,Weekday,9.220153483,
,87.25319493,49.21031998,16.29687956,5.435916594,6.083446347,10.22663245,-5.961952829,37.10590832,Weekday,83.08318167,
,85.2359468,38.54413475,18.85842376,13.75928607,3.320952667,10.75314956,-3.241508258,48.38530078,Weekday,87.04412786,
,86.13807845,52.36428215,16.2147553,11.58047658,-0.319207072,6.2977715,-0.749622861,67.06483659,Weekday,76.04221394,
,95.17406722,53.12680017,16.75192629,12.4977941,2.485550864,10.3119958,-1.283111732,65.73503974,Weekday,6.601122481,
,93.50865522,50.13241122,19.90605226,8.779427311,2.959868584,11.73089584,-1.283966848,56.68704459,Weekday,64.85431176,
,103.9705233,56.07885315,21.60579892,14.68185421,2.312768991,9.291247987,-1.348316865,55.98229857,Weekday,48.56573421,
,119.4911825,58.18093876,25.60960978,19.32940636,4.361160986,12.01006657,-3.442898363,33.66715342,Weekday,63.63293688,
,96.28975597,52.72001925,19.73277409,10.51835435,3.605011691,9.713596586,-3.191542016,54.51922032,Weekday,79.39354856,
,92.27055226,46.53313414,17.89779195,14.77651573,4.378050356,8.685060081,-3.349580455,41.28246742,Weekday,20.96418024,
,196.8858357,84.4322514,49.49286401,33.88211772,18.37265958,10.70594303,-3.288828535,33.0874206,Weekday,27.99315267,
,194.7411663,88.75896131,51.01016204,31.75887503,17.19884908,6.014318809,0.873540943,52.97811443,Weekday,87.9763987,
,225.0855617,97.40564521,51.81846101,39.34375889,25.60978561,10.90791102,-2.614506767,39.48191403,Weekday,38.82006336,
,223.1611103,103.4112204,44.46660894,35.44050345,24.74975756,15.09301999,-1.639853645,54.56348692,Weekday,83.44464473,
,236.450662,117.0387625,55.66402145,37.29570887,22.5350972,3.917071983,-3.0586416,65.23612335,Weekday,35.7074724,
,213.1317072,104.419152,47.74125751,30.73371631,22.80692443,7.430656911,-1.351043877,38.30421306,Weekday,90.65844055,
,210.0487795,85.28009563,53.36777246,39.57682363,21.5830604,10.24102737,-0.277601735,48.40849033,Weekday,75.23054389,
,199.002969,92.68188534,49.69905794,33.23390148,9.216557744,14.17156652,-1.92449308,54.85988497,Weekday,58.37735858,
,87.82698286,48.19791647,17.13348132,11.70898631,-0.279995394,11.06659416,-3.386180657,37.32547096,Weekday,70.70089104,
,96.26610994,48.52149537,16.37515648,13.74904622,6.383489446,11.23692242,-3.419887269,61.58915087,Weekday,40.69443939,
,98.34543841,48.1136828,19.25112519,15.26223165,5.758320251,9.960078516,0.170252253,35.55456189,Weekday,6.214499118,
,91.58522111,50.97602496,18.09684932,9.931540799,3.811290505,8.769515529,-4.520670038,66.57384864,Weekday,72.06111945,
,98.87618394,52.29232453,22.22112109,9.031786911,4.66993814,10.66101327,-1.467081611,41.49766753,Weekday,1.994439003,
,103.7357577,58.57522817,21.34829637,10.07109164,4.951181444,8.789960081,-1.66081807,34.540549,Weekday,3.59737826,
,97.64276779,56.98183318,22.12729968,5.292583276,5.36648949,7.874562161,-1.54060323,62.81811634,Weekday,26.27741844,
,99.56791621,47.28122586,29.32907286,9.389784866,5.721601929,7.846230694,-4.963373842,38.87756253,Weekday,74.89881947,
,62.55514361,33.74022284,12.74978837,7.364399147,1.330988904,7.369744356,-0.563462922,62.27201637,Weekend,12.31816496,
,68.66826156,30.69007905,16.98260334,8.274931518,1.444568925,11.27607873,0.212502423,68.97585169,Weekend,57.34855924,
,63.89978382,27.62620611,18.97515553,7.282534427,2.168574087,7.847313667,-1.543976735,68.56235324,Weekend,59.14301644,
,71.02861285,31.35365523,17.86739214,9.939301806,2.113738586,9.754525093,-1.108015791,50.37378881,Weekend,11.25054774,
,76.58321644,39.63550398,15.15323104,8.436370958,1.372234874,11.98587559,-0.741224805,50.58487894,Weekend,36.25653895,
,66.94545924,31.62629932,14.88042003,9.35021104,1.044131248,10.04439759,-0.710420812,47.30135642,Weekend,1.817764002,
,60.14136509,27.94156822,13.26430816,3.242691454,3.207857397,12.48493986,-3.306760623,35.06790392,Weekend,53.50249062,
,73.13607305,33.85613213,13.77673022,12.90635855,2.604063548,9.992788601,-1.640690855,32.36998188,Weekend,98.62206204,
,71.28409976,37.43165582,13.19583152,8.454341219,2.989639844,9.212631361,-3.46473516,57.10738241,Weekend,44.61435943,
,71.00897195,29.45393052,14.38037774,8.503285457,3.514617081,15.15676115,-6.432664596,49.88710358,Weekend,72.06377409,
,70.18102214,33.59147337,16.76280475,10.74659967,-0.070622108,9.150766461,-2.491273725,63.43282394,Weekend,71.25007388,
,72.386323,35.72897084,18.50674261,5.506355212,2.808989571,9.835264773,-1.284607801,56.38074928,Weekend,95.58946988,
,61.58566662,29.26670682,11.11180939,12.51389816,2.723161546,5.970090698,-0.80092241,64.28672661,Weekend,23.69867729,
,56.99658141,27.32576315,14.85370455,8.029114187,0.497055531,6.290943997,-4.141734058,60.38559691,Weekend,51.46247452,
,51.71218183,19.15582086,15.99416335,6.1874321,3.039580576,7.335184942,-5.447522155,69.37265873,Weekend,36.5687687,
,62.32852481,33.34378496,13.90950552,4.70743492,2.216556194,8.151243217,-2.393082023,66.50395055,Weekend,13.19546235,
,66.33567458,39.42671519,14.75058541,1.872847808,0.171729888,10.11379628,-0.167380715,32.73884113,Weekend,44.17626764,
,65.38468107,35.30512698,12.68904369,7.004412878,1.611373633,8.774723895,0.73985141,58.82409041,Weekend,9.3263981,
,64.33557468,26.76334863,17.73197406,8.28875566,0.294607327,11.25688901,-3.023805918,44.12797194,Weekend,30.04284288,
,65.27010207,33.24349653,13.86034721,7.297553912,1.154897144,9.713807276,0.658677459,66.06689475,Weekend,43.59602554,
,69.34878583,36.06551661,13.65244577,7.95307937,0.8670231,10.81072098,1.745218148,30.93812241,Weekend,98.73466514,
,59.64033879,25.18526401,12.52768641,5.776573724,2.977221938,13.17359271,-2.971259392,54.81169908,Weekend,81.66860661,
,65.3262233,29.75119357,14.43848228,9.914681286,2.038656156,9.183210011,-1.864275565,58.52274013,Weekend,22.50786072,
,55.68343887,23.61729877,13.64723177,7.891784019,1.952431843,8.574692467,0.720858992,69.88558224,Weekend,11.14870969,
,65.24345887,24.23257218,14.73825241,7.470515158,3.818804049,14.98331507,-3.749426349,47.46442769,Weekend,86.79579775,
,58.4539693,27.18044056,13.65173019,8.358282275,2.522954873,6.740561398,2.064316295,56.1520878,Weekend,10.71276541,
,65.27220599,30.76817609,16.18229583,9.029650022,2.154464624,7.137619429,-0.311657904,59.59856842,Weekend,34.20210354,
,63.03810396,24.32010024,18.6567656,9.557800784,2.860037922,7.643399411,-1.547057474,54.01948279,Weekend,15.22265176,
,73.59128147,36.73274201,16.04848309,6.727894092,1.724246932,12.35791534,-1.991300448,33.21338516,Weekend,68.47876455,
,63.04707968,26.02393036,14.47003967,9.203407426,2.303794559,11.04590766,-7.031177654,47.94868659,Weekend,54.08009002,
,75.90375324,39.14873591,14.61241463,9.635416838,2.651446615,9.855739247,0.003256137,52.23317266,Weekend,64.30588012,
,66.31767305,33.22209126,14.71270068,6.986719867,0.528060008,10.86810123,-3.675728314,37.11038385,Weekend,32.18615495,
,77.11123223,37.97703303,18.04109877,11.90214761,1.04942545,8.141527362,-2.025357962,63.00594098,Weekend,6.746531507,
,68.71023266,31.02267224,16.54880558,10.8760068,2.775137327,7.48761072,-2.304023413,67.71602798,Weekend,35.29261829,
,73.20115508,38.81580929,15.00388859,6.759473259,2.555699742,10.0662842,-3.866227739,64.02321026,Weekend,95.32151733,
,61.99823797,27.43556604,16.92805269,5.412182357,4.066580835,8.155856036,0.560010156,33.35168535,Weekend,93.30874489,
,67.53217715,26.94459873,19.24030157,9.239551182,1.395846196,10.71187947,-4.027005595,64.02519174,Weekend,15.26978841,
,74.46783639,32.66883857,15.24026743,11.6877866,3.456454068,11.41448973,-1.951267728,52.50558729,Weekend,57.84723055,
,58.82982155,28.02646761,14.93461257,6.906119517,1.711193243,7.251428609,-4.33337447,34.50187359,Weekend,1.929260472,
,52.2018461,21.78601004,15.53867722,3.534252481,1.084129479,10.25877688,-3.347122097,32.99784748,Weekend,53.94023395,
,58.95252515,19.31813242,16.03120476,11.22506127,1.027488495,11.3506382,1.156269422,47.04625819,Weekend,80.04048749,
,58.6515959,25.63240914,16.39217952,8.54705183,1.759499779,6.32045564,-3.642278597,69.49070119,Weekend,14.15410353,
,63.46049062,30.00386619,16.39381239,6.176360525,2.261725973,8.624725548,-0.288101004,52.35469256,Weekend,54.04995104,
,72.90310439,35.16587134,15.28673471,7.752734785,1.020422512,13.67734104,-1.329604631,64.38172582,Weekend,13.97588763,
,64.8161052,29.77812996,13.33049854,10.14416692,1.972317085,9.5909927,-7.144822756,69.6214597,Weekend,81.33462742,
,65.50362244,32.70819923,15.99602515,8.492552259,2.439089486,5.867756315,-1.636219151,62.23417618,Weekend,22.32719803,
,71.59906248,29.32495955,15.35537638,8.797672151,3.301347426,14.81970698,-3.040700599,46.69404046,Weekend,21.94459794,
,71.78829266,32.67840718,17.11857289,9.547944141,2.852190787,9.591177658,2.739513554,67.10293738,Weekend,67.09336308,
,97.1549845,53.3809903,18.26783811,14.73240898,0.653523269,10.12022384,-0.204944771,54.07583769,Weekday,21.56553936,
,87.06144134,42.26221693,19.48562059,11.97382495,3.94902172,9.390757153,-1.474509325,49.38329613,Weekday,76.08249191,
,86.86585008,43.91338915,18.95933062,13.01564115,0.872518068,10.10497108,3.663765101,48.85292823,Weekday,19.89075001,
,112.7047543,62.08870198,20.78398098,15.92251702,3.033652403,10.87590191,-0.912237393,36.4495134,Weekday,79.97741741,
,91.90018681,52.20670246,16.61065658,6.399018353,3.107072917,13.57673651,-3.096206118,45.50142365,Weekday,99.82619691,
,90.5800842,47.72931,18.62437465,11.36556971,3.721544127,9.139285721,0.042710537,31.56737327,Weekday,64.68605301,
,89.74934556,45.21037823,20.82960172,14.67358124,1.726628577,7.309155801,1.328877618,62.4907249,Weekday,1.005028911,
,87.92657195,44.25643865,20.00950026,16.25258419,0.068477623,7.339571242,-1.179761047,68.00243324,Weekday,61.71232922,
,203.9575687,80.84338097,56.54102446,42.25821636,10.08777086,14.227176,-4.290603961,43.85681791,Weekday,2.175941528,
,212.3521925,92.26277839,48.93795875,37.95946584,23.15753025,10.03445926,0.262182232,42.17951967,Weekday,33.51734658,
,216.7434944,97.22751645,46.60700833,48.80249983,13.70241618,10.40405358,-2.123586964,52.8919899,Weekday,88.03478312,
,234.4942064,109.3474212,47.59713876,46.13977174,21.79094543,9.618929315,-0.719650302,44.26646809,Weekday,75.14705051,
,205.2788214,100.0942217,51.67833513,32.16943023,9.586062183,11.75077222,-6.296176011,64.7115869,Weekday,12.96080539,
,216.1887712,96.3207254,54.74400377,37.38901481,18.49074733,9.244279835,-2.618035289,31.51700508,Weekday,48.98982762,
,211.3301122,96.06158111,51.60559252,23.98048157,25.15474524,14.52771173,-3.560563685,37.61740181,Weekday,2.624757406,
,240.8529997,117.4040836,52.37189453,41.13446114,18.78132732,11.16123307,-2.680769612,53.46385281,Weekday,47.67758828,
,98.3433505,47.98891244,18.94302901,12.0856836,5.442799366,13.88292608,-3.93894407,55.93266684,Weekday,43.78633047,
,98.08992161,46.11004839,19.58227111,14.45051712,6.139297593,11.8077874,-3.32461046,53.22861994,Weekday,57.9495564,
,90.02031547,45.27489934,18.17478365,13.68641619,1.663830395,11.22038589,-3.193361931,30.10844913,Weekday,47.61104208,
,97.68722379,51.53883163,18.89298019,15.57755969,1.942671532,9.735180748,-1.585705891,65.15046988,Weekday,87.42328525,
,93.77939821,53.15598697,18.10635215,10.19442059,3.615077769,8.707560741,-1.866207471,66.85724579,Weekday,48.53026806,
,93.68527336,46.15221222,23.69630964,8.916544125,5.500598209,9.419609169,-0.803961872,66.73440945,Weekday,46.86213109,
,105.3914471,54.81764715,17.58615966,12.23354546,8.388238412,12.36585641,-0.436690229,46.49287372,Weekday,73.7465674,
,94.88041568,47.40609977,20.82139798,11.79926708,3.662085955,11.19156489,-2.755514929,35.5193704,Weekday,36.92497849,
,103.1700904,53.23610574,21.58596672,15.22749489,3.694852369,9.425670657,-1.162313827,54.53814696,Weekday,51.87416195,
,99.42200612,51.59629971,17.88172634,11.93071254,6.035439008,11.97782852,-0.594717793,53.9666685,Weekday,44.70500541,
,87.93382911,49.19819908,13.64429206,10.53902269,2.80965737,11.74265791,-1.173223777,62.88746706,Weekday,95.52564449,
,85.97978486,46.50235043,19.32271442,9.811799674,2.502806292,7.840114043,0.470293029,61.79979746,Weekday,54.22781563,
,95.02223863,46.51554544,22.08331935,11.6647743,4.406799546,10.35179999,-0.505791776,35.75965051,Weekday,74.79037748,
,83.75708309,49.18974203,15.05203534,8.302961724,5.574669834,5.637674167,-1.891309764,52.02209783,Weekday,32.79536493,
,95.89076412,50.07887898,18.2473924,13.67444109,2.07984735,11.8102043,0.675573955,57.96470112,Weekday,41.84641598,
