Time,Use [kW],Day Type,Season,Outdoor Temp [°C],Humidity [%],Lighting [kW],Computers [kW],HVAC [kW],Employees Present,Cloud Cover [%]
01/02/2023 10:00,202.1918727,Weekday,Winter,5,52.56622447,35.6,54.5,65,44,0.909180509
01/02/2023 11:00,177.3320054,Weekday,Winter,7.7,41.29476427,33.9,41.1,70.5,49,57.21583939
01/02/2023 12:00,244.9575515,Weekday,Winter,12.2,64.01431173,28.7,65,119.3,50,0.47
01/02/2023 13:00,229.946114,Weekday,Winter,12.1,51.85236717,39,60.9,102.4,41,0.401165697
01/02/2023 14:00,226.6449263,Weekday,Winter,3.4,45.9181441,41.8,65.2,93.9,52,0.396525401
01/02/2023 15:00,199.5095965,Weekday,Winter,6.4,36.82282039,20.5,46.4,99.7,18,0.096205742
01/02/2023 16:00,180.1540434,Weekday,Winter,6.2,40.04489253,20.6,49.5,77.9,57,0.600148417
01/02/2023 17:00,15.403311,Weekday,Winter,-1.2,52.00915721,2.8,4.6,5.8,4,0.43
01/02/2023 18:00,19.70138233,Weekday,Winter,2.8,56.06528394,3.6,4.9,6.9,3,0.140338302
01/02/2023 19:00,70.226676,Weekday,Winter,0.7,30,12.4,16.9,32.2,7,0.76
01/02/2023 20:00,77.826063,Weekday,Winter,4.2,33.7497966,8.7,17.3,26.4,3,0.67
01/02/2023 21:00,23.10344495,Weekday,Winter,5.3,51.51291402,2.6,5,11.4,6,0.298263693
01/02/2023 22:00,64.02942917,Weekday,Winter,4,48.04376644,9.3,18.9,30.5,5,0.919661657
01/02/2023 23:00,104.1059337,Weekday,Winter,4.8,55.02548369,15.4,24.8,36.6,6,0.114000221
01/03/2023 0:00,54.52433839,Weekday,Winter,3.4,46.06092646,6.1,15.3,21.7,4,0.893151819
01/03/2023 1:00,39.412214,Weekday,Winter,5.5,53.43033206,7.6,8.9,18.2,3,0.62
01/03/2023 2:00,47.42175037,Weekday,Winter,4.8,54.21663095,7.7,12,19.1,5,0.91773724
01/03/2023 3:00,51.61345934,Weekday,Winter,1.8,53.49754989,6.7,12.2,25.3,5,0.521680033
01/03/2023 4:00,45.00980441,Weekday,Winter,12.4,58.93239289,8.7,11.5,17.8,2,0.435751339
01/03/2023 5:00,43.44626924,Weekday,Winter,6,53.99230811,7.7,12,18.9,6,49.35232277
01/03/2023 6:00,9.50209,Weekday,Winter,7.7,33.10582415,1.9,2.1,4.2,4,0.44
01/03/2023 7:00,52.76498552,Weekday,Winter,2.6,59.7873264,6.3,12.3,18.5,5,13.93074519
01/03/2023 8:00,68.11611155,Weekday,Winter,3.7,80,11.5,18.1,27.8,2,0.473173258
01/03/2023 9:00,217.3814875,Weekday,Winter,4.1,44.81836298,41.5,61,67.8,42,0.75
01/03/2023 10:00,164.7270942,Weekday,Winter,8.5,41.97939995,32.5,36.4,64.4,42,0.329012614
01/03/2023 11:00,213.7094029,Weekday,Winter,2.9,45.01651085,37.7,45.6,106.6,49,0.088001298
01/03/2023 12:00,203.9329857,Weekday,Winter,3.3,44.18375053,28.1,42.6,98.6,74,0.323547358
01/03/2023 13:00,185.8378993,Weekday,Winter,0.8,46.8481098,21.2,47.1,86.5,56,0.407957502
01/03/2023 14:00,199.4972115,Weekday,Winter,8.3,53.10891839,39.1,46.6,98.9,40,0.975039977
01/03/2023 15:00,186.9484241,Weekday,Winter,0.2,61.38787002,26.3,37.5,66.9,35,0.51818187
01/03/2023 16:00,216.0447419,Weekday,Winter,-1.5,35.38636614,23.2,64.3,71.4,43,0.414276848
01/03/2023 17:00,48.303381,Weekday,Winter,6.2,48.99936196,6.3,12.9,17,5,0.14
01/03/2023 18:00,62.00712369,Weekday,Winter,2.5,50.67399278,8.7,13.4,29.2,6,0.229796455
01/03/2023 19:00,61.506765,Weekday,Winter,6.7,41.05107476,10.8,13,30.3,3,0.22
01/03/2023 20:00,30.50366953,Weekday,Winter,5.3,55.92588648,4.1,9,10,6,0.240625227
01/03/2023 21:00,30.5065575,Weekday,Winter,1.6,46.84489941,5.1,8.3,10.9,7,0.43
01/03/2023 22:00,38.58514809,Weekday,Winter,3.2,69.46416269,4,9.9,11.1,3,97.01891774
01/03/2023 23:00,45.21318791,Weekday,Winter,2.5,58.39427498,4.9,11.5,14.4,6,0.583535822
01/04/2023 0:00,79.80306321,Weekday,Winter,2.8,37.10795138,9.5,23.8,37.3,4,0.076772134
01/04/2023 1:00,55.61279251,Weekday,Winter,0.3,34.81647865,7.2,12.1,27.3,5,0.460162264
01/04/2023 2:00,57.90450896,Weekday,Winter,4,68.70935322,11.1,17,28.9,5,0.15574976
01/04/2023 3:00,54.71579703,Weekday,Winter,7.1,53.66229865,6,12.3,19,5,0.577587764
01/04/2023 4:00,73.91596296,Weekday,Winter,11.9,59.86278627,7.7,20.3,22.8,4,0.43201504
01/04/2023 5:00,51.11188412,Weekday,Winter,3.9,66.47893339,5.8,14.2,23.2,5,0.465132075
01/04/2023 6:00,42.404664,Weekday,Winter,5.1,42.64946578,6.3,9.3,15.4,4,0.22
01/04/2023 7:00,44.01042703,Weekday,Winter,3.6,54.5387939,7.9,11.7,19.4,5,0.473955759
01/04/2023 8:00,68.41033109,Weekday,Winter,3.1,53.43256891,13.5,17.1,24.8,3,0.302078799
01/04/2023 9:00,244.7306833,Weekday,Winter,2.9,42.32154399,31.7,55.6,113.4,49,0.25078285
01/04/2023 10:00,194.4662589,Weekday,Winter,5.2,42.5766755,30.6,52.5,89.6,40,0.681675648
01/04/2023 11:00,197.9720939,Weekday,Winter,8.6,55.47793733,32.7,47.6,65.3,37,0.728589309
01/04/2023 12:00,195.0637379,Weekday,Winter,5.5,36.92445851,37.2,40.9,72.4,38,0.653722394
01/04/2023 13:00,190.4077775,Weekday,Winter,4.5,44.65192752,32.9,48.2,91.4,45,0.081696069
01/04/2023 14:00,225.0078732,Weekday,Winter,6.3,53.9812375,25.5,61.9,96.2,49,0.959299429
01/04/2023 15:00,216.8016892,Weekday,Winter,4,50.5682834,35.7,58.5,87.1,42,0.015583139
01/04/2023 16:00,202.3657475,Weekday,Winter,4.7,59.99781138,32.5,44.2,93.2,48,0.65
01/04/2023 17:00,69.133168,Weekday,Winter,8,50.78334874,9.5,18.6,28.5,5,0.96
01/04/2023 18:00,69.42108026,Weekday,Winter,8.5,54.69208521,9.4,17.5,26.2,4,0.60750035
01/04/2023 19:00,45.401362,Weekday,Winter,3.2,43.47449782,8.6,10.3,17.3,6,0.06
01/04/2023 20:00,40.3029084,Weekday,Winter,7.4,50.51042805,4.5,8.5,12.2,7,0.144337227
01/04/2023 21:00,2.400224975,Weekday,Winter,3.9,55.13047179,0.3,0.7,0.8,3,0.187479331
01/04/2023 22:00,83.23280849,Weekday,Winter,0.6,48.13694116,14.7,16.9,40,4,0.788665645
01/04/2023 23:00,33.40413399,Weekday,Winter,7.9,33.21130949,5.8,8.2,14.5,7,0.247544287
01/05/2023 0:00,59.72125645,Weekday,Winter,3.9,60.98058643,7,14.4,24.8,3,0.712108933
01/05/2023 1:00,90.25605842,Weekday,Winter,7,64.98447717,12.8,19.9,32.6,5,94.1080841
01/05/2023 2:00,32.39419901,Weekday,Winter,0,36.55849577,5.9,7.5,11.3,8,50.26575992
01/05/2023 3:00,59.24646516,Weekday,Winter,4.8,62.14744395,6.3,17,26.1,6,71.55472575
01/05/2023 4:00,62.40291698,Weekday,Winter,2.7,61.96013419,6.6,16.9,21.2,6,0.093493012
01/05/2023 5:00,65.31122253,Weekday,Winter,9.2,51.72069487,8.5,15.4,23,4,0.343722185
01/05/2023 6:00,53.61115283,Weekday,Winter,4.1,41.40980768,6.5,15.6,24.7,4,0.416150456
01/05/2023 7:00,33.21303294,Weekday,Winter,7.5,35.48293422,6.3,7.5,11.9,6,0.785117156
01/05/2023 8:00,74.25989566,Weekday,Winter,6.1,57.54051812,9.2,19.8,24.1,4,88.88595389
01/05/2023 9:00,181.2452436,Weekday,Winter,3.4,37.97684128,25,41.5,74.9,56,0.49937713
01/05/2023 10:00,222.4198364,Weekday,Winter,7.9,46.37925968,28.6,55.5,103.9,60,0.178385294
01/05/2023 11:00,210.2058121,Weekday,Winter,4.7,69.14817396,24.3,61.1,80.9,44,0.055300686
01/05/2023 12:00,188.3882524,Weekday,Winter,6.5,41.09613321,24.1,54.6,86.9,54,0.937359916
01/05/2023 13:00,188.845312,Weekday,Winter,5.8,51.57350617,19,51.1,69.9,65,0.48
01/05/2023 14:00,174.57678,Weekday,Winter,6.2,56.23095642,30.3,37.8,72.1,62,0.88
01/05/2023 15:00,203.7517586,Weekday,Winter,6.3,58.48542058,38.6,50.5,97.2,45,0.508184883
01/05/2023 16:00,162.7518659,Weekday,Winter,7.1,50.31637714,21,39.3,78.5,37,0.637564686
01/05/2023 17:00,23.61117565,Weekday,Winter,6.5,49.29827438,2.5,6.9,9.4,6,0.947089065
01/05/2023 18:00,73.5007712,Weekday,Winter,5.3,30,8.8,20.1,31.6,4,0.020984982
01/05/2023 19:00,50.1416,Weekday,Winter,6.6,30,5.3,13.8,17.4,6,76.25672871
01/05/2023 20:00,71.50505557,Weekday,Winter,5.5,41.93232576,11.5,20.2,29.9,4,0.141414593
01/05/2023 21:00,34.11123501,Weekday,Winter,6.2,58.82065803,6.1,9,10.6,6,0.658944982
01/05/2023 22:00,62.52669778,Weekday,Winter,-5.1,54.04800684,10.1,18,29,6,0.854329002
01/05/2023 23:00,46.3192145,Weekday,Winter,0.8,50.96349031,6,11.3,22.9,0,0.83
01/06/2023 0:00,30.98599144,Weekday,Winter,7.4,57.34650508,5.1,8.3,9.3,6,45.27996312
01/06/2023 1:00,38.06054447,Weekday,Winter,5.3,55.37624984,6.7,8.1,12.8,7,29.89570489
01/06/2023 2:00,39.30329372,Weekday,Winter,0,63.23804957,4.9,8.1,18.9,7,0.16761934
01/06/2023 3:00,67.10424814,Weekday,Winter,4.9,60.28797796,12.8,16.6,24.4,3,0.126621122
01/06/2023 4:00,55.01485,Weekday,Winter,5.5,44.65285617,5.5,15.6,25.6,5,0.54
01/06/2023 5:00,92.941805,Weekday,Winter,8.6,54.22162228,13.1,25.1,29.4,6,0.9
01/06/2023 6:00,62.2218021,Weekday,Winter,5.2,60.72642443,7.3,17.5,22.8,7,0.701032248
01/06/2023 7:00,31.00118647,Weekday,Winter,8.9,52.64243194,5.4,6.6,11.2,4,0.076546225
01/06/2023 8:00,19.905771,Weekday,Winter,6.7,56.38325593,3.6,4.5,9.1,4,0.58
01/06/2023 9:00,237.395685,Weekday,Winter,4,43.534761,33,65.5,110.4,44,0.806447373
01/06/2023 10:00,187.9882088,Weekday,Winter,2.2,37.17272867,34.8,56.1,83.3,45,0.938890999
01/06/2023 11:00,200.2290727,Weekday,Winter,4.8,41.8079852,21.3,54.7,98.5,47,0.290436571
01/06/2023 12:00,175.3531575,Weekday,Winter,6.5,62.00763466,20.8,44.6,59.7,50,0.606474641
01/06/2023 13:00,204.5364023,Weekday,Winter,8.5,47.10998408,30.3,56.8,63.4,45,73.35430617
01/06/2023 14:00,219.8545267,Weekday,Winter,5.6,45.11542183,37.4,58,85.9,39,0.496148123
01/06/2023 15:00,254.219427,Weekday,Winter,5,50.06678886,50.4,65.6,107.9,35,0.94
01/06/2023 16:00,176.9445035,Weekday,Winter,-0.6,48.00598765,30.9,48.2,72,48,0.503148316
01/06/2023 17:00,42.203376,Weekday,Winter,7.6,31.96397778,5,11.8,18.9,8,0.16
01/06/2023 18:00,45.71027215,Weekday,Winter,8.2,56.33101472,5.6,9.1,18.7,6,0.449546867
01/06/2023 19:00,101.3081778,Weekday,Winter,4,50.79536906,14,29.3,39.8,4,0.161457409
01/06/2023 20:00,25.76575093,Weekday,Winter,7.2,57.0740164,4.9,6.9,7.5,6,86.29562175
01/06/2023 21:00,63.01432521,Weekday,Winter,4.1,50.13492864,11.3,18.3,21.3,3,0.454768558
01/06/2023 22:00,9.503713663,Weekday,Winter,4.5,50.66292498,1,2,4.2,1,0.781823863
01/06/2023 23:00,17.50334868,Weekday,Winter,5.2,50.13124234,3.3,4.1,6.7,4,0.382706339
01/07/2023 0:00,33.50814596,Weekend,Winter,2.4,64.48991146,5.4,7.7,16.2,6,0.48632586
01/07/2023 1:00,43.00982916,Weekend,Winter,10.5,48.40295319,8.3,12.8,15.7,7,0.457170192
01/07/2023 2:00,37.08226807,Weekend,Winter,2.2,50.55028296,4.4,8.5,11.9,3,15.34065599
01/07/2023 3:00,48.49823408,Weekend,Winter,1.9,66.30367026,9.2,11,21,5,50.66528888
01/07/2023 4:00,48.08783053,Weekend,Winter,7.3,46.33489935,7.1,13.1,20,4,90.7752406
01/07/2023 5:00,27.23803915,Weekend,Winter,5.6,52.33407523,5.1,5.7,12.3,3,63.48781419
01/07/2023 6:00,16.00216636,Weekend,Winter,4.4,40.99008519,2.6,3.5,7.1,8,0.270795296
01/07/2023 7:00,25.2470621,Weekend,Winter,3.7,37.33833242,2.8,5.2,8.8,5,27.87647381
01/07/2023 8:00,26.50314595,Weekend,Winter,4.5,44.23548992,5.1,7,13.1,8,0.237430084
01/07/2023 9:00,10.9008051,Weekend,Winter,2.5,40.74493472,1.2,3,4.6,4,0.147723963
01/07/2023 10:00,47.5045125,Weekend,Winter,10.9,61.78002875,8.8,11.8,22.1,2,0.19
01/07/2023 11:00,11.30466855,Weekend,Winter,2,55.67303133,1.6,2.4,4.8,6,0.826291365
01/07/2023 12:00,47.32017522,Weekend,Winter,1.6,36.36763013,5.8,13.3,16.4,5,0.853074747
01/07/2023 13:00,31.11274322,Weekend,Winter,6,35.73410725,5.3,8.5,14.6,4,0.819499583
01/07/2023 14:00,37.00202032,Weekend,Winter,11,51.18906666,7,7.7,11,5,72.94231501
01/07/2023 15:00,30.81211949,Weekend,Winter,9.8,61.42873234,3.4,8.9,11.7,2,0.786979598
01/07/2023 16:00,34.808178,Weekend,Winter,7.8,41.75225783,6.5,7.5,13.6,6,0.47
01/07/2023 17:00,17.9022375,Weekend,Winter,4.9,56.67395001,3.3,5.1,8.6,5,0.25
01/07/2023 18:00,61.20075004,Weekend,Winter,5.5,70.41368481,7.4,13,26.9,6,0.024511223
01/07/2023 19:00,52.57613571,Weekend,Winter,-1.5,62.28710667,8.6,10.7,15.6,4,90.50241384
01/07/2023 20:00,18.2054834,Weekend,Winter,11.3,67.50209733,2.7,4.9,8.6,4,0.602571233
01/07/2023 21:00,24.71144429,Weekend,Winter,7.3,59.32006147,4.3,5.7,11.1,6,0.926663559
01/07/2023 22:00,40.0918663,Weekend,Winter,11.3,38.20657498,4.9,11.1,15.2,5,55.99314338
01/07/2023 23:00,22.90864024,Weekend,Winter,5.5,54.37886331,3.1,6,9.9,4,0.754606366
01/08/2023 0:00,20.14339984,Weekend,Winter,6.7,47.32372019,2.7,4.1,7,4,14.33998422
01/08/2023 1:00,43.322706,Weekend,Winter,8,51.21743687,6.9,10.9,13.1,3,67.9095944
01/08/2023 2:00,30.61345013,Weekend,Winter,-1,48.88334433,4.4,7.8,13.5,3,0.87909329
01/08/2023 3:00,28.4081446,Weekend,Winter,4.1,68.76241005,5.5,8,13.8,6,0.573563673
01/08/2023 4:00,29.30740595,Weekend,Winter,6.1,51.31544085,5.2,7.4,9.3,5,0.505525615
01/08/2023 5:00,0,Weekend,Winter,11.2,46.14353587,-0.1,-0.1,-0.2,6,91.16728973
01/08/2023 6:00,68.41877604,Weekend,Winter,8.9,57.36489345,10.5,18.1,33.6,4,0.549006875
01/08/2023 7:00,15.80265213,Weekend,Winter,7.6,52.33833365,1.9,3.7,6.9,2,0.335712585
01/08/2023 8:00,13.70905873,Weekend,Winter,5.6,51.9006877,1.9,3.9,6.4,4,46.12816939
01/08/2023 9:00,0,Weekend,Winter,4.6,44.81697495,-1.2,-2.5,-3.7,5,0.562969235
01/08/2023 10:00,19.60026067,Weekend,Winter,1.3,49.42193744,3.7,5.8,9.6,6,0.026599428
01/08/2023 11:00,48.41982826,Weekend,Winter,7.6,59.64193168,5.4,13.3,24,4,0.819349631
01/08/2023 12:00,21.1062465,Weekend,Winter,4.2,38.97811772,3.6,5.9,7.4,6,0.592085584
01/08/2023 13:00,6.202821,Weekend,Winter,4.2,60.35762692,0.9,1.8,2.1,4,0.91
01/08/2023 14:00,38.808148,Weekend,Winter,6.4,43.74626864,4.7,9.5,13.3,0,0.42
01/08/2023 15:00,24.80873855,Weekend,Winter,3.5,50.41492268,3,5.6,8.5,4,0.704722158
01/08/2023 16:00,13.89446603,Weekend,Winter,8.7,53.21053623,1.6,3.2,6,8,28.38920195
01/08/2023 17:00,11.6021173,Weekend,Winter,5,47.68896836,2,3.1,4.9,5,0.365051201
01/08/2023 18:00,31.11328533,Weekend,Winter,3.3,48.84278524,3.2,8.9,13.7,3,0.854361874
01/08/2023 19:00,10.40101685,Weekend,Winter,5.2,41.57805299,1.8,2.3,5.1,7,0.195548398
01/08/2023 20:00,28.40508185,Weekend,Winter,7.2,53.48621799,3.1,7.8,8.7,5,0.357876673
01/08/2023 21:00,18.40667563,Weekend,Winter,2.9,61.4335334,1.9,5.3,8.6,7,0.725612003
01/08/2023 22:00,48.3007245,Weekend,Winter,3.7,35.09306041,6.7,11.1,21.3,0,0.03
01/08/2023 23:00,49.60395415,Weekend,Winter,7.2,57.22775846,5.1,13.9,24.8,5,0.159441412
01/09/2023 0:00,42.509887,Weekday,Winter,7.5,46.55498221,8.4,10.7,17.9,3,0.465270707
01/09/2023 1:00,32.91117514,Weekday,Winter,1.3,51.96976044,5.1,9.1,11.9,4,0.679339671
01/09/2023 2:00,40.81541174,Weekday,Winter,5.8,46.7628669,4.7,10.9,18.8,3,0.755477668
01/09/2023 3:00,57.51735462,Weekday,Winter,8.3,50.02348538,11,15,20.1,5,0.603638791
01/09/2023 4:00,38.11044315,Weekday,Winter,-3,38.80798947,6.1,9.9,18.5,6,0.548196713
01/09/2023 5:00,39.11078162,Weekday,Winter,8.1,68.94549884,4.9,8.1,18.2,7,0.551489732
01/09/2023 6:00,69.5184175,Weekday,Winter,10.5,35.46861664,7.3,14.2,32.8,6,0.53
01/09/2023 7:00,70.40355832,Weekday,Winter,6,50.09248699,13.4,19.4,31.7,2,0.101088594
01/09/2023 8:00,67.30125938,Weekday,Winter,2.2,38.07720194,13.4,18,24,4,0.03742571
01/09/2023 9:00,172.0224498,Weekday,Winter,5.6,54.20689177,31.6,42.2,58.9,56,0.261043912
01/09/2023 10:00,160.778987,Weekday,Winter,4.9,32.77164698,30.3,45.2,50.1,51,0.98303635
01/09/2023 11:00,191.4223005,Weekday,Winter,0.4,53.6013594,32.5,41.7,87.1,51,0.233025163
01/09/2023 12:00,206.1282218,Weekday,Winter,-1.3,44.50172096,21.6,52.5,72.2,65,55.11686739
01/09/2023 13:00,184.2076185,Weekday,Winter,1.8,46.74958683,29,43.3,76,47,0.082719601
01/09/2023 14:00,242.0090518,Weekday,Winter,-1.2,53.0195406,34.6,47.8,73.7,52,57.90010039
01/09/2023 15:00,211.6677968,Weekday,Winter,3.3,55.9006697,28,46.6,77.5,67,99.878937
01/09/2023 16:00,203.7151555,Weekday,Winter,2.3,58.16635174,28,56.3,72.8,67,0.148802107
01/09/2023 17:00,46.90813987,Weekday,Winter,2.7,39.44929474,5.1,10.3,21.6,7,0.347115931
01/09/2023 18:00,59.09076302,Weekday,Winter,3.4,57.97716691,8,12.5,20.3,5,41.13171059
01/09/2023 19:00,77.70081794,Weekday,Winter,6.3,52.12200152,11.4,22.7,25.7,5,0.021053763
01/09/2023 20:00,17.90374172,Weekday,Winter,4.6,62.2396999,3,5,8.3,7,0.418069122
01/09/2023 21:00,72.9219707,Weekday,Winter,-0.1,40.90022756,13.4,15.6,34.9,5,0.602762652
01/09/2023 22:00,59.9239382,Weekday,Winter,5.1,45.55387876,8.8,17.2,25.4,5,0.799272184
01/09/2023 23:00,60.90837239,Weekday,Winter,9.2,42.17051149,8.4,15.4,21.1,6,0.274955227
01/10/2023 0:00,79.8371974,Weekday,Winter,8.1,55.6698302,8.9,20.5,38.3,4,76.39004945
01/10/2023 1:00,53.60139177,Weekday,Winter,5.1,57.91436898,8,12.1,21.1,3,0.051931795
01/10/2023 2:00,8.400741496,Weekday,Winter,6.2,58.13959662,1.1,2.1,4,6,0.176546675
01/10/2023 3:00,84.60475866,Weekday,Winter,13.6,52.41194901,12.3,20.7,34.3,3,0.112497958
01/10/2023 4:00,35.89271156,Weekday,Winter,4.2,49.82060869,6.1,7.6,12.6,5,16.44446964
01/10/2023 5:00,33.34325028,Weekday,Winter,6,62.04307526,6.1,8.7,14.6,3,83.9531425
01/10/2023 6:00,74.21128248,Weekday,Winter,6,39.38431245,14.4,16.5,34,5,0.304110007
01/10/2023 7:00,66.42911672,Weekday,Winter,2.3,37.70360758,7.7,14.1,30.1,5,0.877009521
01/10/2023 8:00,58.60794308,Weekday,Winter,7.6,58.46690854,6.2,14.6,28.8,4,0.271094943
01/10/2023 9:00,179.2447504,Weekday,Winter,1.2,33.55366263,19.3,43.4,63.3,46,0.499446561
01/10/2023 10:00,205.7071348,Weekday,Winter,2,67.97192826,39,42.9,60.1,40,70.52979162
01/10/2023 11:00,226.9986344,Weekday,Winter,3.9,50.81779502,37.3,58.6,112,46,0.869408812
01/10/2023 12:00,164.2029467,Weekday,Winter,2.3,70.85893443,26.2,35.9,55,52,34.73292024
01/10/2023 13:00,225.6081797,Weekday,Winter,5.1,42.53605595,44.7,56.5,104.6,42,0.072515496
01/10/2023 14:00,208.8711437,Weekday,Winter,2.5,44.88979792,21.6,43.6,65.5,58,0.681453454
01/10/2023 15:00,183.483487,Weekday,Winter,6.6,55.08053043,21.4,51.1,87.1,58,0.910436116
01/10/2023 16:00,244.0392209,Weekday,Winter,4.9,35.32078733,28.4,63,121.7,38,0.321482903
01/10/2023 17:00,25.00036426,Weekday,Winter,5.3,44.3557773,3.1,6.8,9.8,2,0.029140883
01/10/2023 18:00,31.55366519,Weekday,Winter,4,42.72967703,3.1,6.8,14.4,4,29.17461018
01/10/2023 19:00,33.408016,Weekday,Winter,7.2,42.42670047,5.9,6.9,11.1,4,0.48
01/10/2023 20:00,13.50598445,Weekday,Winter,0,56.26912164,2.4,2.9,6.6,2,0.886584559
01/10/2023 21:00,62.72894355,Weekday,Winter,2.7,39.88671896,9.6,13,25.8,5,0.923239384
01/10/2023 22:00,34.11422718,Weekday,Winter,6,54.14012257,4.8,8.6,17,3,0.834438656
01/10/2023 23:00,32.50411488,Weekday,Winter,1.3,63.99600876,5.3,8.5,13.2,5,0.253223308
01/11/2023 0:00,44.63988768,Weekday,Winter,3.3,52.83011925,4.6,9.5,17.6,4,66.66146646
01/11/2023 1:00,53.41044513,Weekday,Winter,7.3,49.47454142,5.8,12,21.6,3,0.391203442
01/11/2023 2:00,48.61793023,Weekday,Winter,7.9,40.59580003,8.8,12.8,21.5,3,0.737869519
01/11/2023 3:00,39.01298666,Weekday,Winter,3,33.19768097,7.5,9.3,12.3,7,0.665982727
01/11/2023 4:00,75.3157285,Weekday,Winter,8,55.44672793,7.8,16.8,35.9,4,0.417755557
01/11/2023 5:00,40.0300572,Weekday,Winter,5.6,54.43273463,5,10.5,14.8,7,16.62756661
01/11/2023 6:00,47.5106875,Weekday,Winter,3.1,61.82958251,9.1,10.8,15.6,8,0.45
01/11/2023 7:00,74.71577835,Weekday,Winter,5.6,55.70055844,14.6,18.3,27.9,3,0.422445691
01/11/2023 8:00,36.60812229,Weekday,Winter,10.4,52.38992188,5,9.6,11.4,3,0.443840943
01/11/2023 9:00,181.1741022,Weekday,Winter,8.5,56.05381975,25.3,54.3,74.7,52,0.818356686
01/11/2023 10:00,192.4089571,Weekday,Winter,5.2,48.85920595,24.2,57.7,82.9,41,0.093109281
01/11/2023 11:00,205.2441425,Weekday,Winter,9.3,33.95800436,29.2,51.3,98.3,41,0.430238992
01/11/2023 12:00,221.5184804,Weekday,Winter,7.8,46.98072808,27.2,53.8,89.3,42,35.08020587
