Time,Use [kW],Day Type,Season,Outdoor Temp [°C],Humidity [%],Lighting [kW],Computers [kW],HVAC [kW],Employees Present
02/01/2023 17:00,15.4,Weekday,Winter,-1.2,52.00915721,2.8,4.6,5.8,4
02/01/2023 18:00,19.7,Weekday,Winter,2.8,56.06528394,3.6,4.9,6.9,3
02/01/2023 19:00,70.2,Weekday,Winter,0.7,30,12.4,16.9,32.2,7
02/01/2023 20:00,77.8,Weekday,Winter,4.2,33.7497966,8.7,17.3,26.4,3
02/01/2023 21:00,23.1,Weekday,Winter,5.3,51.51291402,2.6,5,11.4,6
02/01/2023 22:00,64,Weekday,Winter,4,48.04376644,9.3,18.9,30.5,5
02/01/2023 23:00,104.1,Weekday,Winter,4.8,55.02548369,15.4,24.8,36.6,6
03/01/2023 0:00,54.5,Weekday,Winter,3.4,46.06092646,6.1,15.3,21.7,4
03/01/2023 1:00,39.4,Weekday,Winter,5.5,53.43033206,7.6,8.9,18.2,3
03/01/2023 2:00,47.4,Weekday,Winter,4.8,54.21663095,7.7,12,19.1,5
03/01/2023 3:00,51.6,Weekday,Winter,1.8,53.49754989,6.7,12.2,25.3,5
03/01/2023 4:00,45,Weekday,Winter,12.4,58.93239289,8.7,11.5,17.8,2
03/01/2023 5:00,42.4,Weekday,Winter,6,53.99230811,7.7,12,18.9,6
03/01/2023 6:00,9.5,Weekday,Winter,7.7,33.10582415,1.9,2.1,4.2,4
03/01/2023 7:00,52.4,Weekday,Winter,2.6,59.7873264,6.3,12.3,18.5,5
03/01/2023 8:00,68.1,Weekday,Winter,3.7,80,11.5,18.1,27.8,2
03/01/2023 9:00,217.3,Weekday,Winter,4.1,44.81836298,41.5,61,67.8,42
03/01/2023 10:00,164.7,Weekday,Winter,8.5,41.97939995,32.5,36.4,64.4,42
03/01/2023 11:00,213.7,Weekday,Winter,2.9,45.01651085,37.7,45.6,106.6,49
03/01/2023 12:00,203.9,Weekday,Winter,3.3,44.18375053,28.1,42.6,98.6,74
03/01/2023 13:00,185.8,Weekday,Winter,0.8,46.8481098,21.2,47.1,86.5,56
03/01/2023 14:00,199.4,Weekday,Winter,8.3,53.10891839,39.1,46.6,98.9,40
03/01/2023 15:00,186.9,Weekday,Winter,0.2,61.38787002,26.3,37.5,66.9,35
03/01/2023 16:00,216,Weekday,Winter,-1.5,35.38636614,23.2,64.3,71.4,43
03/01/2023 17:00,48.3,Weekday,Winter,6.2,48.99936196,6.3,12.9,17,5
03/01/2023 18:00,62,Weekday,Winter,2.5,50.67399278,8.7,13.4,29.2,6
03/01/2023 19:00,61.5,Weekday,Winter,6.7,41.05107476,10.8,13,30.3,3
03/01/2023 20:00,30.5,Weekday,Winter,5.3,55.92588648,4.1,9,10,6
03/01/2023 21:00,30.5,Weekday,Winter,1.6,46.84489941,5.1,8.3,10.9,7
03/01/2023 22:00,36.8,Weekday,Winter,3.2,69.46416269,4,9.9,11.1,3
03/01/2023 23:00,45.2,Weekday,Winter,2.5,58.39427498,4.9,11.5,14.4,6
04/01/2023 0:00,79.8,Weekday,Winter,2.8,37.10795138,9.5,23.8,37.3,4
04/01/2023 1:00,55.6,Weekday,Winter,0.3,34.81647865,7.2,12.1,27.3,5
04/01/2023 2:00,57.9,Weekday,Winter,4,68.70935322,11.1,17,28.9,5
04/01/2023 3:00,54.7,Weekday,Winter,7.1,53.66229865,6,12.3,19,5
04/01/2023 4:00,73.9,Weekday,Winter,11.9,59.86278627,7.7,20.3,22.8,4
04/01/2023 5:00,51.1,Weekday,Winter,3.9,66.47893339,5.8,14.2,23.2,5
04/01/2023 6:00,42.4,Weekday,Winter,5.1,42.64946578,6.3,9.3,15.4,4
04/01/2023 7:00,44,Weekday,Winter,3.6,54.5387939,7.9,11.7,19.4,5
04/01/2023 8:00,68.4,Weekday,Winter,3.1,53.43256891,13.5,17.1,24.8,3
04/01/2023 9:00,244.7,Weekday,Winter,2.9,42.32154399,31.7,55.6,113.4,49
04/01/2023 10:00,194.4,Weekday,Winter,5.2,42.5766755,30.6,52.5,89.6,40
04/01/2023 11:00,197.9,Weekday,Winter,8.6,55.47793733,32.7,47.6,65.3,37
04/01/2023 12:00,195,Weekday,Winter,5.5,36.92445851,37.2,40.9,72.4,38
04/01/2023 13:00,190.4,Weekday,Winter,4.5,44.65192752,32.9,48.2,91.4,45
04/01/2023 14:00,224.9,Weekday,Winter,6.3,53.9812375,25.5,61.9,96.2,49
04/01/2023 15:00,216.8,Weekday,Winter,4,50.5682834,35.7,58.5,87.1,42
04/01/2023 16:00,202.3,Weekday,Winter,4.7,59.99781138,32.5,44.2,93.2,48
04/01/2023 17:00,69.1,Weekday,Winter,8,50.78334874,9.5,18.6,28.5,5
04/01/2023 18:00,69.4,Weekday,Winter,8.5,54.69208521,9.4,17.5,26.2,4
04/01/2023 19:00,45.4,Weekday,Winter,3.2,43.47449782,8.6,10.3,17.3,6
04/01/2023 20:00,40.3,Weekday,Winter,7.4,50.51042805,4.5,8.5,12.2,7
04/01/2023 21:00,2.4,Weekday,Winter,3.9,55.13047179,0.3,0.7,0.8,3
04/01/2023 22:00,83.2,Weekday,Winter,0.6,48.13694116,14.7,16.9,40,4
04/01/2023 23:00,33.4,Weekday,Winter,7.9,33.21130949,5.8,8.2,14.5,7
05/01/2023 0:00,59.7,Weekday,Winter,3.9,60.98058643,7,14.4,24.8,3
05/01/2023 1:00,86.2,Weekday,Winter,7,64.98447717,12.8,19.9,32.6,5
05/01/2023 2:00,31.6,Weekday,Winter,0,36.55849577,5.9,7.5,11.3,8
05/01/2023 3:00,57.2,Weekday,Winter,4.8,62.14744395,6.3,17,26.1,6
05/01/2023 4:00,62.4,Weekday,Winter,2.7,61.96013419,6.6,16.9,21.2,6
05/01/2023 5:00,65.3,Weekday,Winter,9.2,51.72069487,8.5,15.4,23,4
05/01/2023 6:00,53.6,Weekday,Winter,4.1,41.40980768,6.5,15.6,24.7,4
05/01/2023 7:00,33.2,Weekday,Winter,7.5,35.48293422,6.3,7.5,11.9,6
05/01/2023 8:00,71.1,Weekday,Winter,6.1,57.54051812,9.2,19.8,24.1,4
05/01/2023 9:00,181.2,Weekday,Winter,3.4,37.97684128,25,41.5,74.9,56
05/01/2023 10:00,222.4,Weekday,Winter,7.9,46.37925968,28.6,55.5,103.9,60
05/01/2023 11:00,210.2,Weekday,Winter,4.7,69.14817396,24.3,61.1,80.9,44
05/01/2023 12:00,188.3,Weekday,Winter,6.5,41.09613321,24.1,54.6,86.9,54
05/01/2023 13:00,188.8,Weekday,Winter,5.8,51.57350617,19,51.1,69.9,65
05/01/2023 14:00,174.5,Weekday,Winter,6.2,56.23095642,30.3,37.8,72.1,62
05/01/2023 15:00,203.7,Weekday,Winter,6.3,58.48542058,38.6,50.5,97.2,45
05/01/2023 16:00,162.7,Weekday,Winter,7.1,50.31637714,21,39.3,78.5,37
05/01/2023 17:00,23.6,Weekday,Winter,6.5,49.29827438,2.5,6.9,9.4,6
05/01/2023 18:00,73.5,Weekday,Winter,5.3,30,8.8,20.1,31.6,4
05/01/2023 19:00,48.3,Weekday,Winter,6.6,30,5.3,13.8,17.4,6
05/01/2023 20:00,71.5,Weekday,Winter,5.5,41.93232576,11.5,20.2,29.9,4
05/01/2023 21:00,34.1,Weekday,Winter,6.2,58.82065803,6.1,9,10.6,6
05/01/2023 22:00,62.5,Weekday,Winter,-5.1,54.04800684,10.1,18,29,6
05/01/2023 23:00,46.3,Weekday,Winter,0.8,50.96349031,6,11.3,22.9,0
06/01/2023 0:00,30.3,Weekday,Winter,7.4,57.34650508,5.1,8.3,9.3,6
06/01/2023 1:00,37.5,Weekday,Winter,5.3,55.37624984,6.7,8.1,12.8,7
06/01/2023 2:00,39.3,Weekday,Winter,0,63.23804957,4.9,8.1,18.9,7
06/01/2023 3:00,67.1,Weekday,Winter,4.9,60.28797796,12.8,16.6,24.4,3
06/01/2023 4:00,55,Weekday,Winter,5.5,44.65285617,5.5,15.6,25.6,5
06/01/2023 5:00,92.9,Weekday,Winter,8.6,54.22162228,13.1,25.1,29.4,6
06/01/2023 6:00,62.2,Weekday,Winter,5.2,60.72642443,7.3,17.5,22.8,7
06/01/2023 7:00,31,Weekday,Winter,8.9,52.64243194,5.4,6.6,11.2,4
06/01/2023 8:00,19.9,Weekday,Winter,6.7,56.38325593,3.6,4.5,9.1,4
06/01/2023 9:00,237.3,Weekday,Winter,4,43.534761,33,65.5,110.4,44
06/01/2023 10:00,187.9,Weekday,Winter,2.2,37.17272867,34.8,56.1,83.3,45
06/01/2023 11:00,200.2,Weekday,Winter,4.8,41.8079852,21.3,54.7,98.5,47
06/01/2023 12:00,175.3,Weekday,Winter,6.5,62.00763466,20.8,44.6,59.7,50
06/01/2023 13:00,197.3,Weekday,Winter,8.5,47.10998408,30.3,56.8,63.4,45
06/01/2023 14:00,219.8,Weekday,Winter,5.6,45.11542183,37.4,58,85.9,39
06/01/2023 15:00,254.1,Weekday,Winter,5,50.06678886,50.4,65.6,107.9,35
06/01/2023 16:00,176.9,Weekday,Winter,-0.6,48.00598765,30.9,48.2,72,48
06/01/2023 17:00,42.2,Weekday,Winter,7.6,31.96397778,5,11.8,18.9,8
06/01/2023 18:00,45.7,Weekday,Winter,8.2,56.33101472,5.6,9.1,18.7,6
06/01/2023 19:00,101.3,Weekday,Winter,4,50.79536906,14,29.3,39.8,4
06/01/2023 20:00,24.7,Weekday,Winter,7.2,57.0740164,4.9,6.9,7.5,6
06/01/2023 21:00,63,Weekday,Winter,4.1,50.13492864,11.3,18.3,21.3,3
06/01/2023 22:00,9.5,Weekday,Winter,4.5,50.66292498,1,2,4.2,1
06/01/2023 23:00,17.5,Weekday,Winter,5.2,50.13124234,3.3,4.1,6.7,4
07/01/2023 0:00,33.5,Weekend,Winter,2.4,64.48991146,5.4,7.7,16.2,6
07/01/2023 1:00,43,Weekend,Winter,10.5,48.40295319,8.3,12.8,15.7,7
07/01/2023 2:00,36.8,Weekend,Winter,2.2,50.55028296,4.4,8.5,11.9,3
07/01/2023 3:00,47.3,Weekend,Winter,1.9,66.30367026,9.2,11,21,5
07/01/2023 4:00,46,Weekend,Winter,7.3,46.33489935,7.1,13.1,20,4
07/01/2023 5:00,26.4,Weekend,Winter,5.6,52.33407523,5.1,5.7,12.3,3
07/01/2023 6:00,16,Weekend,Winter,4.4,40.99008519,2.6,3.5,7.1,8
07/01/2023 7:00,24.9,Weekend,Winter,3.7,37.33833242,2.8,5.2,8.8,5
07/01/2023 8:00,26.5,Weekend,Winter,4.5,44.23548992,5.1,7,13.1,8
07/01/2023 9:00,10.9,Weekend,Winter,2.5,40.74493472,1.2,3,4.6,4
07/01/2023 10:00,47.5,Weekend,Winter,10.9,61.78002875,8.8,11.8,22.1,2
07/01/2023 11:00,11.3,Weekend,Winter,2,55.67303133,1.6,2.4,4.8,6
07/01/2023 12:00,47.3,Weekend,Winter,1.6,36.36763013,5.8,13.3,16.4,5
07/01/2023 13:00,31.1,Weekend,Winter,6,35.73410725,5.3,8.5,14.6,4
07/01/2023 14:00,35.7,Weekend,Winter,11,51.18906666,7,7.7,11,5
07/01/2023 15:00,30.8,Weekend,Winter,9.8,61.42873234,3.4,8.9,11.7,2
07/01/2023 16:00,34.8,Weekend,Winter,7.8,41.75225783,6.5,7.5,13.6,6
07/01/2023 17:00,17.9,Weekend,Winter,4.9,56.67395001,3.3,5.1,8.6,5
07/01/2023 18:00,61.2,Weekend,Winter,5.5,70.41368481,7.4,13,26.9,6
07/01/2023 19:00,50.3,Weekend,Winter,-1.5,62.28710667,8.6,10.7,15.6,4
07/01/2023 20:00,18.2,Weekend,Winter,11.3,67.50209733,2.7,4.9,8.6,4
07/01/2023 21:00,24.7,Weekend,Winter,7.3,59.32006147,4.3,5.7,11.1,6
07/01/2023 22:00,39,Weekend,Winter,11.3,38.20657498,4.9,11.1,15.2,5
07/01/2023 23:00,22.9,Weekend,Winter,5.5,54.37886331,3.1,6,9.9,4
08/01/2023 0:00,20,Weekend,Winter,6.7,47.32372019,2.7,4.1,7,4
08/01/2023 1:00,41.9,Weekend,Winter,8,51.21743687,6.9,10.9,13.1,3
08/01/2023 2:00,30.6,Weekend,Winter,-1,48.88334433,4.4,7.8,13.5,3
08/01/2023 3:00,28.4,Weekend,Winter,4.1,68.76241005,5.5,8,13.8,6
08/01/2023 4:00,29.3,Weekend,Winter,6.1,51.31544085,5.2,7.4,9.3,5
08/01/2023 5:00,-0.4,Weekend,Winter,11.2,46.14353587,-0.1,-0.1,-0.2,6
08/01/2023 6:00,68.4,Weekend,Winter,8.9,57.36489345,10.5,18.1,33.6,4
08/01/2023 7:00,15.8,Weekend,Winter,7.6,52.33833365,1.9,3.7,6.9,2
08/01/2023 8:00,13.4,Weekend,Winter,5.6,51.9006877,1.9,3.9,6.4,4
08/01/2023 9:00,-9.2,Weekend,Winter,4.6,44.81697495,-1.2,-2.5,-3.7,5
08/01/2023 10:00,19.6,Weekend,Winter,1.3,49.42193744,3.7,5.8,9.6,6
08/01/2023 11:00,48.4,Weekend,Winter,7.6,59.64193168,5.4,13.3,24,4
08/01/2023 12:00,21.1,Weekend,Winter,4.2,38.97811772,3.6,5.9,7.4,6
08/01/2023 13:00,6.2,Weekend,Winter,4.2,60.35762692,0.9,1.8,2.1,4
08/01/2023 14:00,38.8,Weekend,Winter,6.4,43.74626864,4.7,9.5,13.3,0
08/01/2023 15:00,24.8,Weekend,Winter,3.5,50.41492268,3,5.6,8.5,4
08/01/2023 16:00,13.7,Weekend,Winter,8.7,53.21053623,1.6,3.2,6,8
08/01/2023 17:00,11.6,Weekend,Winter,5,47.68896836,2,3.1,4.9,5
08/01/2023 18:00,31.1,Weekend,Winter,3.3,48.84278524,3.2,8.9,13.7,3
08/01/2023 19:00,10.4,Weekend,Winter,5.2,41.57805299,1.8,2.3,5.1,7
08/01/2023 20:00,28.4,Weekend,Winter,7.2,53.48621799,3.1,7.8,8.7,5
08/01/2023 21:00,18.4,Weekend,Winter,2.9,61.4335334,1.9,5.3,8.6,7
08/01/2023 22:00,48.3,Weekend,Winter,3.7,35.09306041,6.7,11.1,21.3,0
08/01/2023 23:00,49.6,Weekend,Winter,7.2,57.22775846,5.1,13.9,24.8,5
09/01/2023 0:00,42.5,Weekday,Winter,7.5,46.55498221,8.4,10.7,17.9,3
09/01/2023 1:00,32.9,Weekday,Winter,1.3,51.96976044,5.1,9.1,11.9,4
09/01/2023 2:00,40.8,Weekday,Winter,5.8,46.7628669,4.7,10.9,18.8,3
09/01/2023 3:00,57.5,Weekday,Winter,8.3,50.02348538,11,15,20.1,5
09/01/2023 4:00,38.1,Weekday,Winter,-3,38.80798947,6.1,9.9,18.5,6
09/01/2023 5:00,39.1,Weekday,Winter,8.1,68.94549884,4.9,8.1,18.2,7
09/01/2023 6:00,69.5,Weekday,Winter,10.5,35.46861664,7.3,14.2,32.8,6
09/01/2023 7:00,70.4,Weekday,Winter,6,50.09248699,13.4,19.4,31.7,2
09/01/2023 8:00,67.3,Weekday,Winter,2.2,38.07720194,13.4,18,24,4
09/01/2023 9:00,172,Weekday,Winter,5.6,54.20689177,31.6,42.2,58.9,56
09/01/2023 10:00,160.7,Weekday,Winter,4.9,32.77164698,30.3,45.2,50.1,51
09/01/2023 11:00,191.4,Weekday,Winter,0.4,53.6013594,32.5,41.7,87.1,51
09/01/2023 12:00,200.6,Weekday,Winter,-1.3,44.50172096,21.6,52.5,72.2,65
09/01/2023 13:00,184.2,Weekday,Winter,1.8,46.74958683,29,43.3,76,47
09/01/2023 14:00,235.2,Weekday,Winter,-1.2,53.0195406,34.6,47.8,73.7,52
09/01/2023 15:00,201.6,Weekday,Winter,3.3,55.9006697,28,46.6,77.5,67
09/01/2023 16:00,203.7,Weekday,Winter,2.3,58.16635174,28,56.3,72.8,67
09/01/2023 17:00,46.9,Weekday,Winter,2.7,39.44929474,5.1,10.3,21.6,7
09/01/2023 18:00,57.9,Weekday,Winter,3.4,57.97716691,8,12.5,20.3,5
09/01/2023 19:00,77.7,Weekday,Winter,6.3,52.12200152,11.4,22.7,25.7,5
09/01/2023 20:00,17.9,Weekday,Winter,4.6,62.2396999,3,5,8.3,7
09/01/2023 21:00,72.9,Weekday,Winter,-0.1,40.90022756,13.4,15.6,34.9,5
09/01/2023 22:00,59.9,Weekday,Winter,5.1,45.55387876,8.8,17.2,25.4,5
09/01/2023 23:00,60.9,Weekday,Winter,9.2,42.17051149,8.4,15.4,21.1,6
10/01/2023 0:00,76.9,Weekday,Winter,8.1,55.6698302,8.9,20.5,38.3,4
10/01/2023 1:00,53.6,Weekday,Winter,5.1,57.91436898,8,12.1,21.1,3
10/01/2023 2:00,8.4,Weekday,Winter,6.2,58.13959662,1.1,2.1,4,6
10/01/2023 3:00,84.6,Weekday,Winter,13.6,52.41194901,12.3,20.7,34.3,3
10/01/2023 4:00,35.6,Weekday,Winter,4.2,49.82060869,6.1,7.6,12.6,5
10/01/2023 5:00,32,Weekday,Winter,6,62.04307526,6.1,8.7,14.6,3
10/01/2023 6:00,74.2,Weekday,Winter,6,39.38431245,14.4,16.5,34,5
10/01/2023 7:00,66.4,Weekday,Winter,2.3,37.70360758,7.7,14.1,30.1,5
10/01/2023 8:00,58.6,Weekday,Winter,7.6,58.46690854,6.2,14.6,28.8,4
10/01/2023 9:00,179.2,Weekday,Winter,1.2,33.55366263,19.3,43.4,63.3,46
10/01/2023 10:00,198.7,Weekday,Winter,2,67.97192826,39,42.9,60.1,40
10/01/2023 11:00,226.9,Weekday,Winter,3.9,50.81779502,37.3,58.6,112,46
10/01/2023 12:00,161.4,Weekday,Winter,2.3,70.85893443,26.2,35.9,55,52
10/01/2023 13:00,225.6,Weekday,Winter,5.1,42.53605595,44.7,56.5,104.6,42
10/01/2023 14:00,208.8,Weekday,Winter,2.5,44.88979792,21.6,43.6,65.5,58
10/01/2023 15:00,183.4,Weekday,Winter,6.6,55.08053043,21.4,51.1,87.1,58
10/01/2023 16:00,244,Weekday,Winter,4.9,35.32078733,28.4,63,121.7,38
10/01/2023 17:00,25,Weekday,Winter,5.3,44.3557773,3.1,6.8,9.8,2
10/01/2023 18:00,31.1,Weekday,Winter,4,42.72967703,3.1,6.8,14.4,4
10/01/2023 19:00,33.4,Weekday,Winter,7.2,42.42670047,5.9,6.9,11.1,4
10/01/2023 20:00,13.5,Weekday,Winter,0,56.26912164,2.4,2.9,6.6,2
10/01/2023 21:00,62.7,Weekday,Winter,2.7,39.88671896,9.6,13,25.8,5
10/01/2023 22:00,34.1,Weekday,Winter,6,54.14012257,4.8,8.6,17,3
10/01/2023 23:00,32.5,Weekday,Winter,1.3,63.99600876,5.3,8.5,13.2,5
11/01/2023 0:00,43.2,Weekday,Winter,3.3,52.83011925,4.6,9.5,17.6,4
11/01/2023 1:00,53.4,Weekday,Winter,7.3,49.47454142,5.8,12,21.6,3
11/01/2023 2:00,48.6,Weekday,Winter,7.9,40.59580003,8.8,12.8,21.5,3
11/01/2023 3:00,39,Weekday,Winter,3,33.19768097,7.5,9.3,12.3,7
11/01/2023 4:00,75.3,Weekday,Winter,8,55.44672793,7.8,16.8,35.9,4
11/01/2023 5:00,39.7,Weekday,Winter,5.6,54.43273463,5,10.5,14.8,7
11/01/2023 6:00,47.5,Weekday,Winter,3.1,61.82958251,9.1,10.8,15.6,8
11/01/2023 7:00,74.7,Weekday,Winter,5.6,55.70055844,14.6,18.3,27.9,3
11/01/2023 8:00,36.6,Weekday,Winter,10.4,52.38992188,5,9.6,11.4,3
11/01/2023 9:00,181.1,Weekday,Winter,8.5,56.05381975,25.3,54.3,74.7,52
11/01/2023 10:00,192.4,Weekday,Winter,5.2,48.85920595,24.2,57.7,82.9,41
11/01/2023 11:00,205.2,Weekday,Winter,9.3,33.95800436,29.2,51.3,98.3,41
11/01/2023 12:00,217.7,Weekday,Winter,7.8,46.98072808,27.2,53.8,89.3,42
11/01/2023 13:00,199.6,Weekday,Winter,0.2,50.72509711,22.3,40.7,88.3,32
11/01/2023 14:00,157.9,Weekday,Winter,1.9,39.30017085,25,43.6,59.7,62
11/01/2023 15:00,196.5,Weekday,Winter,1.3,59.36256531,32.5,52.4,77.5,61
11/01/2023 16:00,215.9,Weekday,Winter,2.3,49.33068758,39.3,53.8,81.3,34
11/01/2023 17:00,60.1,Weekday,Winter,1.5,31.50943674,9.4,17.9,21.8,4
11/01/2023 18:00,34.5,Weekday,Winter,4,38.79282421,4.7,8.1,12.8,3
11/01/2023 19:00,28.5,Weekday,Winter,6.1,66.00469582,4.2,5.8,12,4
11/01/2023 20:00,51.5,Weekday,Winter,3.7,56.26154233,6.5,11.5,21.4,3
11/01/2023 21:00,43.7,Weekday,Winter,3.8,41.80032622,7.9,12.3,15.7,8
11/01/2023 22:00,39.8,Weekday,Winter,6.2,57.48953691,4.6,8.9,14.7,8
11/01/2023 23:00,106.2,Weekday,Winter,6.6,52.78703551,19.1,21.8,41.7,2
12/01/2023 0:00,60.3,Weekday,Winter,4.6,64.74952906,6.2,16.5,19.4,5
12/01/2023 1:00,21.1,Weekday,Winter,5.6,75.20791642,2.5,4.8,8.2,7
12/01/2023 2:00,72.8,Weekday,Winter,-2.1,41.22281434,7.9,15.4,35.2,4
12/01/2023 3:00,58.1,Weekday,Winter,6.5,49.8292381,7.1,15.6,23,6
12/01/2023 4:00,69.4,Weekday,Winter,6,68.91256681,13.7,14.5,33.1,6
12/01/2023 5:00,41.5,Weekday,Winter,9.5,58.38599809,4.2,8.7,16.9,6
12/01/2023 6:00,61.1,Weekday,Winter,6.3,39.95393261,9,17.7,19,6
12/01/2023 7:00,59.6,Weekday,Winter,6.9,66.72168065,9.1,16.9,24.1,6
12/01/2023 8:00,42.8,Weekday,Winter,-0.8,57.81340376,6.4,10.4,17.2,5
12/01/2023 9:00,192.2,Weekday,Winter,1.3,65.54247917,29,44.9,61.5,33
12/01/2023 10:00,204.6,Weekday,Winter,5.9,37.83420019,36.9,53,86.3,54
12/01/2023 11:00,224.1,Weekday,Winter,6,38.69366153,35.5,51.7,73.3,59
12/01/2023 12:00,195.5,Weekday,Winter,3.4,48.61278207,31.2,51.4,87.6,45
12/01/2023 13:00,245,Weekday,Winter,2.2,55.44650371,37,65,92,68
12/01/2023 14:00,211.5,Weekday,Winter,4,38.7170552,21.9,62.7,74.6,65
12/01/2023 15:00,234.3,Weekday,Winter,0.3,60.25802636,29.9,65.4,102,44
12/01/2023 16:00,194.1,Weekday,Winter,2.1,72.94366284,24.4,44.6,85.2,50
12/01/2023 17:00,39.6,Weekday,Winter,6.8,43.97038967,4.9,9.4,12.1,5
12/01/2023 18:00,48,Weekday,Winter,0.3,43.47714891,5.9,12.4,18,3
12/01/2023 19:00,66.2,Weekday,Winter,8.1,67.88573215,6.8,18.3,22.5,4
12/01/2023 20:00,39.5,Weekday,Winter,5.1,44.64796624,4.1,11.7,15.6,6
12/01/2023 21:00,26.5,Weekday,Winter,6.2,36.4608545,5.3,5.7,11.7,1
12/01/2023 22:00,67.6,Weekday,Winter,4.4,64.85024711,10.7,19.3,27.2,2
12/01/2023 23:00,22.9,Weekday,Winter,4.8,57.47109691,3.4,5.4,7,5
13/01/2023 0:00,30.4,Weekday,Winter,1.9,65.04919976,3.7,7.3,13.7,5
13/01/2023 1:00,52.7,Weekday,Winter,8.7,50.34583085,10.5,15.5,16.7,8
13/01/2023 2:00,43.7,Weekday,Winter,5.8,51.10652637,4.8,9.5,15.9,4
13/01/2023 3:00,66.1,Weekday,Winter,11.2,47.31913166,11.9,15.2,28.3,7
13/01/2023 4:00,41.4,Weekday,Winter,7.9,46.41688538,7.7,9.5,17.8,7
13/01/2023 5:00,86.3,Weekday,Winter,3.5,44.88517564,13.7,18.3,32.9,4
13/01/2023 6:00,51.1,Weekday,Winter,1.2,40.7641452,7.7,10.8,23,7
